raw_id,processed_id,dataset,split,original_hash
cold_train_0,proc_831a284c0707,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_1,proc_9aa48d99dbeb,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_2,proc_af13e61fc83f,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_3,proc_f297114e0a3d,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_4,proc_37acbba511aa,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_5,proc_fb9230821b84,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_6,proc_0a56538f7e2b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_7,proc_4aae6e28c2e3,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_8,proc_ec7f6f1ba825,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_9,proc_f1b9337b0649,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_10,proc_0829c364466b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_11,proc_cf5063985fce,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_12,proc_3ae8e0e63ba3,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_13,proc_97253d3e0304,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_14,proc_842f198ff7fb,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_15,proc_e0db5a4af761,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_16,proc_d8a3ce524c84,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_17,proc_b83fe50f5d8f,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_18,proc_52ba6b049dd5,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_19,proc_9018bddb4fb9,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_20,proc_491a5c089367,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_21,proc_d4e426d581bf,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_22,proc_2e096e63b480,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_23,proc_71964a39abea,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_24,proc_c50ed794eb9e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_25,proc_c4704069247e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_26,proc_12e64aa3d133,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_27,proc_d4326f3d7d38,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_28,proc_4d78f8136e15,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_29,proc_1f146240a892,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_30,proc_20d1a6fa61c3,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_31,proc_65ac58eba5e0,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_32,proc_b6484c664371,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_33,proc_de31756f1399,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_34,proc_f286c704fdfe,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_35,proc_e3f724db1bba,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_36,proc_e7d1c584e0ea,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_37,proc_3da39dbe6b3c,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_38,proc_c4282fd56527,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_39,proc_91d4aa69beb2,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_40,proc_32def125eae2,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_41,proc_4a493ebcf5a3,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_42,proc_29d852e4f866,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_43,proc_502be3b2987c,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_44,proc_29c91f531646,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_45,proc_30995efb6b11,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_46,proc_dbdfed5a3877,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_47,proc_668f1fa87def,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_48,proc_7c9a46911274,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_49,proc_285147888718,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_50,proc_7550bb514d65,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_51,proc_58037b802d14,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_52,proc_12cb32bf5fe1,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_53,proc_cf834ad8641b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_54,proc_56ef876d832b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_55,proc_95e659b54697,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_56,proc_4f98559ec9ec,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_57,proc_63ce18bdac86,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_58,proc_114e0aa99f6a,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_59,proc_0ba5756fa9d1,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_60,proc_c4bb337e9ca1,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_61,proc_9bbb3601cbe1,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_62,proc_144ee8b9f49b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_63,proc_1a847a303096,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_64,proc_c9b3f500b039,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_65,proc_481596501b01,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_66,proc_fcee96e5cbb6,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_67,proc_34bf235bfe48,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_68,proc_a742d36cf3bf,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_69,proc_fb9980893a78,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_70,proc_c77ca077e816,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_71,proc_cce206578494,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_72,proc_0d1ccd773abf,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_73,proc_f4ab5cf1e632,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_74,proc_436291d650f1,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_75,proc_fc9cc3725319,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_76,proc_4cfb14cecb34,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_77,proc_f2f6a162372e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_78,proc_2f3510745276,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_79,proc_3048fdf83cbe,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_80,proc_5eb5ee19fbc5,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_81,proc_45e850ed2e6c,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_82,proc_8963779deec2,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_83,proc_68547e18cd56,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_84,proc_04aeea86be92,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_85,proc_362e4e48898d,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_86,proc_d702bce9d66b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_87,proc_441c3d87b54d,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_88,proc_6b3e028e105b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_89,proc_c37b9aff3200,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_90,proc_4b66225ca9f3,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_91,proc_8a7b24daa23e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_92,proc_7a6047f81cac,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_93,proc_7e20d9492d7d,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_94,proc_399c03662fb7,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_95,proc_5ba6b028be3c,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_96,proc_240609aced4a,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_97,proc_19526abeb5ba,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_98,proc_05a2c0f976eb,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_99,proc_5e74f4fa2e9b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_100,proc_0c11b3af73a9,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_101,proc_0e37346b3970,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_102,proc_de1bb3bc0196,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_103,proc_8c2710586065,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_104,proc_0dd19d2bff7e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_105,proc_4beef84dd2eb,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_106,proc_16a82a110098,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_107,proc_b0a69c88de66,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_108,proc_89c2e5bd4d4f,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_109,proc_d9c266cf17db,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_110,proc_2710095cbb42,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_111,proc_19aa6d8eb369,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_112,proc_291b0fa48b51,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_113,proc_252776dace36,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_114,proc_2fdb5c92af74,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_115,proc_442082b25620,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_116,proc_cdea1fd82c01,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_117,proc_70d5baacdd77,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_118,proc_529d706dab09,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_119,proc_fa9be3cbaf67,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_120,proc_6f2c63d6481c,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_121,proc_f99607719420,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_122,proc_f8ede1ae72b4,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_123,proc_4ac2bb7f7c4b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_124,proc_8b68d1645c23,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_125,proc_a3c5ae9e699d,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_126,proc_9cac74b0f515,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_127,proc_539378f36969,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_128,proc_6f3df098c788,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_129,proc_96d27ba9ac29,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_130,proc_2f64c2fab5c6,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_131,proc_fa1d4d4d2371,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_132,proc_af364a35d1e0,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_133,proc_5189a9e11a40,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_134,proc_e5bd9bef0a3e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_135,proc_cc960f1055f2,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_136,proc_af8903ee9ced,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_137,proc_76db187a62a3,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_138,proc_eb1ffcfbf74b,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_139,proc_acf723eee44f,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_140,proc_15dadacdf88f,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_141,proc_bda60374f69f,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_142,proc_83afaa83cbc0,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_143,proc_c175787f6215,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_144,proc_011954257b27,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_145,proc_fac1edbf1d49,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_146,proc_3921bc53f879,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_147,proc_a6442ecc0cfe,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_148,proc_186878abd7f9,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_149,proc_bc5440477068,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_150,proc_d7df138e6d26,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_151,proc_b93a211dba9e,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_152,proc_b43bdb28fba2,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_153,proc_8f27585b0d4a,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_154,proc_6d572ed17507,cold,train,61b3a8faa9c1091806675c230a9abe64
cold_train_155,proc_df137735a774,cold,train,61b3a8faa9c1091806675c230a9abe64
